Latitude,Longitude,TempC,PressurehPa,HumidityPct,WindSpeedMS,WindDirDeg,U,V
12.9645531288684,79.9031671390371,27.31,1014,67,1.4,348,1.36940664102733,-0.291076367144864
12.9677272051246,79.9031671390371,27.34,1014,67,1.38,350,1.35903469915685,-0.239634485180364
12.9709012813808,79.9031671390371,27.34,1014,67,1.38,350,1.35903469915685,-0.239634485180364
12.974075357637,79.9031671390371,27.34,1014,67,1.38,350,1.35903469915685,-0.239634485180364
12.9772494338931,79.9031671390371,27.34,1014,67,1.38,350,1.35903469915685,-0.239634485180364
12.9804235101493,79.9031671390371,27.34,1014,67,1.38,350,1.35903469915685,-0.239634485180364
12.9835975864055,79.9031671390371,27.34,1014,67,1.38,350,1.35903469915685,-0.239634485180364
12.9867716626617,79.9031671390371,27.34,1014,67,1.38,350,1.35903469915685,-0.239634485180364
12.9899457389179,79.9031671390371,27.34,1014,67,1.38,350,1.35903469915685,-0.239634485180364
12.9931198151741,79.9031671390371,27.34,1014,67,1.38,350,1.35903469915685,-0.239634485180364
12.9962938914302,79.9031671390371,27.34,1014,67,1.38,350,1.35903469915685,-0.239634485180364
12.9994679676864,79.9031671390371,27.34,1014,67,1.38,350,1.35903469915685,-0.239634485180364
13.0026420439426,79.9031671390371,27.34,1014,67,1.38,350,1.35903469915685,-0.239634485180364
13.0058161201988,79.9031671390371,27.34,1014,67,1.38,350,1.35903469915685,-0.239634485180364
13.008990196455,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0121642727112,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0153383489673,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0185124252235,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0216865014797,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0248605777359,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0280346539921,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0312087302483,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0343828065045,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0375568827606,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0407309590168,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.043905035273,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0470791115292,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0502531877854,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0534272640416,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0566013402977,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0597754165539,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0629494928101,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0661235690663,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0692976453225,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0724717215787,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0756457978348,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.078819874091,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0819939503472,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0851680266034,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0883421028596,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
